num decayed parameter tensors: 39, with 27,803,136 parameters
num non-decayed parameter tensors: 22, with 11,776 parameters
using fused AdamW: True
    "alpha_mean": 0.0856575071811676,
    "beta_mean": 0.3369968930880229,
    "memory_value_rms": 1.0673826535542805,
    "anchor_value_rms": 0.8814902305603027
  },
  {
    "arm": "higher_memory",
    "step": 2000,
    "gate_init": 0.25,
    "nll_00": 0.4981755018234253,
    "nll_11": 0.459824213758111,
    "nll_33": 0.45874599553644657,
    "core_rms": [
      0.4332616627216339,
      0.6526607275009155,
      0.7174886465072632,
      0.7287631034851074
    ],
    "core_relative_change": [
      null,
      0.7201725244522095,
      0.19951099157333374,
      0.09960710257291794
    ],
    "alpha_mean": 0.07324394832054774,
    "beta_mean": 0.3166331748167674,
    "memory_value_rms": 1.0645053784052532,
    "anchor_value_rms": 0.8786882162094116
  },
  {
    "arm": "higher_memory",
    "step": 2444,
    "gate_init": 0.25,
    "nll_00": 0.48030191706493497,
    "nll_11": 0.4435183785390109,
    "nll_33": 0.44181851274333894,
    "core_rms": [
      0.42314454913139343,
      0.6305465698242188,
      0.6950063705444336,
      0.7067394852638245
    ],
    "core_relative_change": [
      null,
      0.7048790454864502,
      0.2016540914773941,
      0.10108412057161331
    ],
    "alpha_mean": 0.0683957040309906,
    "beta_mean": 0.30637574195861816,
    "memory_value_rms": 1.0609728892644246,
    "anchor_value_rms": 0.8742207884788513
  }
]
